0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:01:15 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:01:19 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:02:08 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:02:14 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:02:22 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:02:28 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:02:39 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:02:44 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:02:51 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:04:05 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:04:11 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:04:48 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:04:48 +0900] "POST /Seung/JsonServlet1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:05:06 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:05:06 +0900] "POST /Seung/JsonServlet1 HTTP/1.1" 200 -
127.0.0.1 - - [10/Nov/2019:12:37:39 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:37:40 +0900] "GET /Seung/JsonServlet2 HTTP/1.1" 200 78
127.0.0.1 - - [10/Nov/2019:12:41:15 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Nov/2019:12:41:16 +0900] "GET /Seung/JsonServlet1 HTTP/1.1" 200 78
